,recipeName,recipeLink,name,calories,fat,protein,carb,imgURL,click_count,image
43,Kahlua-Chocolate-Truffles-2557919,recipe/Kahlua-Chocolate-Truffles-2557919,Kahlua Chocolate Truffles,90,6.0,0.5,10.0,https://lh3.googleusercontent.com/rsx8s5MRczXqZtAmHfrdjoLNwJqPSODdCgAurmn8kdw4jG2GyXb3AdfV4LMIXdCg6J3nw-HcOzuYggWJE2_vkA,6358,https://lh3.googleusercontent.com/rsx8s5MRczXqZtAmHfrdjoLNwJqPSODdCgAurmn8kdw4jG2GyXb3AdfV4LMIXdCg6J3nw-HcOzuYggWJE2_vkA=s640-c-rw-v1-e365
44,Hash-_-Egg-Cups-2363294,recipe/Hash-_-Egg-Cups-2363294,Hash & Egg Cups,170,10.0,11.0,10.0,https://lh3.googleusercontent.com/rhBRl7Kq5CpnD9XcwLoVhQoTpCEuX7QB1JFgATCoeFXHRqv0Ql8fVWvRHFvJqKgdkt2_IEbyC8zjK3j1Mif-hg,3884,https://lh3.googleusercontent.com/rhBRl7Kq5CpnD9XcwLoVhQoTpCEuX7QB1JFgATCoeFXHRqv0Ql8fVWvRHFvJqKgdkt2_IEbyC8zjK3j1Mif-hg=s640-c-rw-v1-e365
45,Skinny-Detox-Water-2686197,recipe/Skinny-Detox-Water-2686197,Skinny Detox Water,30,0.0,1.0,10.0,https://lh3.googleusercontent.com/kJWH6o_ICD-WOSjNKcduI1rKGk3X0UtHdAmQSIOi5f-H5kmehV-2kHqLy2TB4r9EODDxMUSCTFZd2nfejfRnXA,13259,https://lh3.googleusercontent.com/kJWH6o_ICD-WOSjNKcduI1rKGk3X0UtHdAmQSIOi5f-H5kmehV-2kHqLy2TB4r9EODDxMUSCTFZd2nfejfRnXA=s640-c-rw-v1-e365
46,Simple-Skillet-Green-Beans-2352743,recipe/Simple-Skillet-Green-Beans-2352743,Simple Skillet Green Beans,90,5.0,3.0,10.0,https://lh3.googleusercontent.com/b3D-gQemnyclzNiDttlhLTbyWe7UoUBKAcD2cSpxAQ4HPtYHEZESXhp0kg6HXVykUGALYHcn_8cEB22B_qbR,39504,https://lh3.googleusercontent.com/b3D-gQemnyclzNiDttlhLTbyWe7UoUBKAcD2cSpxAQ4HPtYHEZESXhp0kg6HXVykUGALYHcn_8cEB22B_qbR=s640-c-rw-v1-e365
47,The-Best-Cocktail-Sauce-Ever_-2124686,recipe/The-Best-Cocktail-Sauce-Ever_-2124686,The Best Cocktail Sauce Ever.,40,0.0,0.5,10.0,https://lh3.googleusercontent.com/8FLLwK-x0gFW-_XnJw7zMJkcoyFW3UkIj7Q4vz4nYT8WC8pDrlcvPoev8e-oHmtL_VhPr9ECmjOKJtk7wwwH3Q,1403,https://lh3.googleusercontent.com/8FLLwK-x0gFW-_XnJw7zMJkcoyFW3UkIj7Q4vz4nYT8WC8pDrlcvPoev8e-oHmtL_VhPr9ECmjOKJtk7wwwH3Q=s640-c-rw-v1-e365
50,Maximum-Weight-Loss-Juice-2730513,recipe/Maximum-Weight-Loss-Juice-2730513,Maximum Weight Loss Juice,35,0.0,1.0,10.0,https://lh3.googleusercontent.com/YF8GKlcyj6j8_tY9_MDi6m_jxxuNYq3tuXDbYLN-eyUWLEmpLzcfcFBp7Ln34HxLJcTqH-KdGwHUAdBO0CLd,41779,https://lh3.googleusercontent.com/YF8GKlcyj6j8_tY9_MDi6m_jxxuNYq3tuXDbYLN-eyUWLEmpLzcfcFBp7Ln34HxLJcTqH-KdGwHUAdBO0CLd=s640-c-rw-v1-e365
51,Low-Calorie-and-Low-Fat-Tuna-Wrap-2604936,recipe/Low-Calorie-and-Low-Fat-Tuna-Wrap-2604936,Low-Calorie and Low-Fat Tuna Wrap,100,3.0,7.0,10.0,https://lh3.googleusercontent.com/65d2yJWpZP0O3l3fKfiHMEtPM6HrDrq3b7lIPpjANFmIaQsxif6CkQniyvrvGQ5vZVUq-SyPGlaCStbqatqtxQ,7677,https://lh3.googleusercontent.com/65d2yJWpZP0O3l3fKfiHMEtPM6HrDrq3b7lIPpjANFmIaQsxif6CkQniyvrvGQ5vZVUq-SyPGlaCStbqatqtxQ=s640-c-rw-v1-e365
52,Cheesecake-Cupcakes-9073059,recipe/Cheesecake-Cupcakes-9073059,Cheesecake Cupcakes,140,10.0,2.0,10.0,https://lh3.googleusercontent.com/2u659XVRC0P6Z6l0aOS8YQBUaVfyL95UQW4S4vqiaVM-AycP-nlTIHiPNCo-IA61zkA3oRYEqsurqxR2g945,1928,https://lh3.googleusercontent.com/2u659XVRC0P6Z6l0aOS8YQBUaVfyL95UQW4S4vqiaVM-AycP-nlTIHiPNCo-IA61zkA3oRYEqsurqxR2g945=s640-c-rw-v1-e365
53,Yummly-Recipe-Basics_-Tzatziki-Sauce-2668216,recipe/Yummly-Recipe-Basics_-Tzatziki-Sauce-2668216,Yummly Recipe Basics: Tzatziki Sauce,90,3.5,4.0,10.0,https://lh3.googleusercontent.com/TVrS0xnUHFNAWrJWDyh5_04hzLemJ-d1sNp6I8PqC7PV-qep8Xve_V7NYisLNCBPpRJtlcxFipz1mHzLHLbN,1862,https://lh3.googleusercontent.com/TVrS0xnUHFNAWrJWDyh5_04hzLemJ-d1sNp6I8PqC7PV-qep8Xve_V7NYisLNCBPpRJtlcxFipz1mHzLHLbN=s640-c-rw-v1-e365
54,Coconut-Snowballs-2284114,recipe/Coconut-Snowballs-2284114,Coconut Snowballs,80,5.0,0.0,10.0,https://lh3.googleusercontent.com/oyQXWIXZH0hPzulz_x_0WsJiIhu2ZxUkU6AAk4TKzkCNwWWCVScJgCZ87BFlMyeOGFOlXeVcqN8cKxze3v5Arg,34220,https://lh3.googleusercontent.com/oyQXWIXZH0hPzulz_x_0WsJiIhu2ZxUkU6AAk4TKzkCNwWWCVScJgCZ87BFlMyeOGFOlXeVcqN8cKxze3v5Arg=s640-c-rw-v1-e365
