name,fat,protein,carb,calories,recipeLink,recipeName,recipeUrl,click_count
Parmesan-Roasted-Cauliflower-9101560,16.0,3.0,1.0,160,recipe/Parmesan-Roasted-Cauliflower-9101560,Parmesan Roasted Cauliflower,https://lh3.googleusercontent.com/OUQYhg8E9_i6sLMUhzZk_X_QXWutaSaZ6e6Fm8bXIPYbG0sb0X83kCKBiNAyIq3xpRbAVQhKm2m45AiB9KCR4A,9257
Creamy-Cheese-Sauce-2697700,34.0,50.0,1.0,520,recipe/Creamy-Cheese-Sauce-2697700,Creamy Cheese Sauce,https://lh3.googleusercontent.com/GS7nQ5BVOP_G3HlXg_9XB6ozoDKzcUZdM7mEqLY090eI1rjZ1VmfKtvGJWZHK3S8bOsKUukx9RNNEXyJk9EeEg,420
Country-Sausage-Gravy-2327695,27.0,5.0,1.0,260,recipe/Country-Sausage-Gravy-2327695,Country Sausage Gravy,https://lh3.googleusercontent.com/wDUnYkSN6RSKu5-ihcttG0izKTC3q9jdVJlH23LX0N0YhNkbS-b9GUHtLjx-gIghqdbsHzRassEIUXS_x_ejSiM,1195
Soft-Dinner-Rolls-9092442,25.0,31.0,1.0,370,recipe/Soft-Dinner-Rolls-9092442,Soft Dinner Rolls,https://lh3.googleusercontent.com/O51JRKRVSLhEMRApTdcnA8skEf6JFeDof_EMIBSQUKlKkPfaXKSvCj1E8SlrfD82KdqzSwp6LS4uEi-xS_DNGQ,1069
Low-Carb-Tortillas-2652185,36.0,0.0,1.0,330,recipe/Low-Carb-Tortillas-2652185,Low Carb Tortillas,https://lh3.googleusercontent.com/_uyPuGwvv1IqXqmEvrOYucgZgquuMnuyT5DDXrVozKmFFIWiDwZN14UM10WH1cXnefWiIGEGG0x9DoFP_HuUcQ,1429
Bacon-Cheeseburger-Sliders-2315259,5.0,0.0,10.0,80,recipe/Bacon-Cheeseburger-Sliders-2315259,Bacon Cheeseburger Sliders,https://lh3.googleusercontent.com/ROCVl5h9I6NaAAkmmmU3yW3a_jCOsamTR41_Gb7pK-uj11_2FChJKJDkG2lqbYxH3N_kziHynw4GMLw0ZbrP,1208
Yummly-Recipe-Basics_-Tzatziki-Sauce-2668216,3.5,4.0,10.0,90,recipe/Yummly-Recipe-Basics_-Tzatziki-Sauce-2668216,Yummly Recipe Basics: Tzatziki Sauce,https://lh3.googleusercontent.com/TVrS0xnUHFNAWrJWDyh5_04hzLemJ-d1sNp6I8PqC7PV-qep8Xve_V7NYisLNCBPpRJtlcxFipz1mHzLHLbN,1862
Baked-Candied-Yams---Soul-Food-Style-2598093,10.0,11.0,10.0,170,recipe/Baked-Candied-Yams---Soul-Food-Style-2598093,Baked Candied Yams - Soul Food Style,https://lh3.googleusercontent.com/i5qvgM8JbiXBZxA-54PwqvqC2uO9LmVJODn_6d5afs79J7Gz2jAgSRcaHmZw6jXBx3prsBPXTNeFWE-gL_LZd-c,3029
Honey-Mustard-Slow-Cooker-Chicken-_Low-FODMAP_-GF_-DF_-SCD_-9087881,4.5,23.0,10.0,170,recipe/Honey-Mustard-Slow-Cooker-Chicken-_Low-FODMAP_-GF_-DF_-SCD_-9087881,"Honey Mustard Slow Cooker Chicken (Low FODMAP, GF, DF, SCD)",https://lh3.googleusercontent.com/XCvv8xFlT30Zrgou8PGIIIdrXGykwP93nd6lBYuTjH5GUkEIwbH4V47xg-ZD1-SNJoqYwqidvGFZPiisR9q4Zg,46130
Million-Dollar-Spaghetti-Casserole-2409890,6.0,0.5,10.0,90,recipe/Million-Dollar-Spaghetti-Casserole-2409890,Million Dollar Spaghetti Casserole,https://lh3.googleusercontent.com/Fwi3FLZLYzoySUASYTOmHx0LXi9bFPeei5jB3HgoxneTuwlHnQd8nK3F8z00YmtJc8f7U8-lH2jlpQhKHn6-rg,180435
Honey-Garlic-Chicken-Slow-Cooker-2570232,10.0,2.0,10.0,140,recipe/Honey-Garlic-Chicken-Slow-Cooker-2570232,Honey Garlic Chicken Slow Cooker,https://lh3.googleusercontent.com/TS7qRC6w27NaER4POj0RYPD9e5U5AotfkR9941YhB3EuSw8q8iIB4oNhQoBK7XwZUqM7CmydA_z_WyOCAlkTyQ,155857
